[03:13:44] [main/INFO]: ModLauncher running: args [--username, Dimanchick22, --version, forge-43.4.0, --gameDir, C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4, --assetsDir, C:\Users\Dimanchick22\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 0f34fd3a80234869b2442c53ea261899, --accessToken, ????????, --clientId, YWIyZWY3NWMtNmMyMi00YTNlLWJlNjEtOWU0ZWM4ZDU4ZTdh, --xuid, 2535429156071316, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.4.0, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[03:13:44] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[03:13:51] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Dimanchick22/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2397!/ Service=ModLauncher Env=CLIENT
[03:13:51] [main/INFO]: Found mod file Ad-Astra-Giselle-Addon-forge-1.19.2-1.24.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ad_astra-forge-1.19.2-1.12.7.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AdvancementPlaques-1.19.2-1.4.7.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AE2-Things-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AE2WTLib-12.9.7.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AEInfinityBooster-1.19.2-1.2.0+11.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AIOTBotania-1.19.2-3.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file alchemistry-1.19.2-2.3.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file alchemylib-1.19.2-1.0.21.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file alexsdelight-1.4.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file alexsmobs-1.21.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file alloyed-1.19.2-v1.5a.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file almostunified-forge-1.19.2-0.8.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
